ΔT,D,Compound,Method,Source,SourceFigure
12.860000000000014,31.3102,Polyethylene,DTA,Jiang et al. (2003),Figure 1
7.514400000000023,36.6049,Polyethylene,DTA,Jiang et al. (2003),Figure 1
12.736199999999997,36.6106,Polyethylene,DTA,Jiang et al. (2003),Figure 1
5.877799999999979,42.2862,Polyethylene,DTA,Jiang et al. (2003),Figure 1
7.2321999999999775,43.1074,Polyethylene,DTA,Jiang et al. (2003),Figure 1
6.6077000000000226,48.9537,Polyethylene,DTA,Jiang et al. (2003),Figure 1
9.814200000000028,49.6676,Polyethylene,DTA,Jiang et al. (2003),Figure 1
10.649000000000001,48.7942,Polyethylene,DTA,Jiang et al. (2003),Figure 1
5.954200000000014,51.3573,Polyethylene,DTA,Jiang et al. (2003),Figure 1
6.3478000000000065,58.0791,Polyethylene,DTA,Jiang et al. (2003),Figure 1
5.686399999999992,59.5537,Polyethylene,DTA,Jiang et al. (2003),Figure 1
